spotify_id,name,artists,country,popularity,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,mood
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,worldwide,88,0.504,0.308,-14.958,0.868,0.135,0.121,113.95,sad
1lcBt7LoEikqYmhUoa2cez,number one girl,ROSÉ,worldwide,73,0.288,0.377,-7.775,0.288,0.0,0.135,175.43,sad
7134tEHq45eL6am9oVazZU,White Christmas (with V of BTS),"V, Bing Crosby",worldwide,74,0.227,0.332,-9.602,0.787,0.0837,0.158,97.475,sad
3ra4PQCtSVULClEqj2XXf7,Let It Snow! Let It Snow! Let It Snow!,Frank Sinatra,CA,74,0.649,0.259,-13.988,0.907,0.0,0.822,144.211,calm
6yzNzQxqsIY3zRsTwzLI3v,Mele Kalikimaka - New mono-to-stereo mix,"Bing Crosby, The Andrews Sisters",CA,60,0.486,0.29,-8.476,0.461,0.0,0.493,202.575,neutral
4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",worldwide,89,0.678,0.604,-7.926,0.00465,0.000936,0.374,88.0,neutral
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,worldwide,83,0.466,0.872,-3.344,0.0156,0.0,0.806,184.115,happy
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",US,86,0.796,0.536,-7.93,0.0552,0.0,0.662,83.492,love/romance
0RgjEkSbeuStKfT2Pa4Zai,reincarnated,Kendrick Lamar,US,87,0.846,0.779,-5.363,0.0534,0.0,0.748,91.118,happy
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",US,85,0.889,0.298,-9.086,0.00306,1.26e-05,0.314,100.042,neutral
3i8fIJNV0yuC4kXT3SkVBZ,Popular,Ariana Grande,GB,83,0.44,0.319,-12.356,0.732,0.0,0.47,178.329,calm
21TIB9PQeyzA0PG2BZHU3a,SMCKDAT,"Marwan Pablo, Abyusif",EG,52,0.664,0.668,-6.792,0.0185,2.48e-06,0.38,125.038,neutral
5ho7VSXSmI2KM2nDjcnLyz,man at the garden,Kendrick Lamar,worldwide,83,0.817,0.348,-10.213,0.51,0.000119,0.634,91.997,neutral
